tree_id,species,planting_year,trunk_diameter_cm,latitude,longitude,PLZ
1,Quercus (Eiche),1992,34.33844883988839,52.391188173487166,13.101322833973887,10115
2,Platanus,2003,23.77354752697946,52.38485747907425,13.119554185336186,10115
3,Quercus (Eiche),1967,48.2827876278357,52.35020006393517,13.190081725114936,10115
4,Tilia (Linde),1965,46.310319665487036,52.38161580631616,13.132065554229763,10115
5,Tilia (Linde),1958,49.651160856548174,52.34978279666551,13.135071705493464,10115
6,Fraxinus,2017,8.696355647541527,52.365404714885514,13.091260866055933,10115
7,Fraxinus,1999,25.127949005042083,52.37668653562948,13.160819612481605,10115
8,Platanus,1985,37.25000001358264,52.36837673811666,13.105525059059818,10115
9,Quercus (Eiche),1953,55.85255065460514,52.35648124191457,13.129442335679997,10115
10,Fraxinus,1957,47.35278598389345,52.35887054682383,13.169799924519673,10115
11,Betula,2013,16.93885142670902,52.400225266277175,13.14858592232002,10115
12,Platanus,1975,39.5501640009914,52.379587344144824,13.148488789342776,10115
13,Acer (Ahorn),1998,20.93030870687255,52.35000624128819,13.096215758115127,10115
14,Quercus (Eiche),1993,32.45620858295517,52.389548392719185,13.099323359521271,10115
15,Tilia (Linde),1973,44.41753504606288,52.350567086761316,13.181762481242838,10115
16,Fraxinus,1995,33.71062420221813,52.359784171311816,13.112594981395207,10115
17,Acer (Ahorn),2006,23.518566231238527,52.37990906346212,13.154299206034988,10115
18,Tilia (Linde),2017,10.415936799308993,52.399009991768786,13.165030902349733,10115
19,Quercus (Eiche),1980,40.86563702305125,52.382400355872534,13.12109366909236,10115
20,Acer (Ahorn),2001,24.88828435086779,52.35861343000381,13.150782245868063,10115
21,Tilia (Linde),2013,18.472327680194333,52.34443558196605,13.189781736762923,10115
22,Betula,2001,23.723833686702015,52.387058688257724,13.167862781842995,10115
23,Platanus,2006,20.974537018880604,52.37295233192448,13.190669125522557,10115
24,Platanus,1972,44.636972880771694,52.393789721148565,13.124075305603592,10115
25,Acer (Ahorn),2020,12.816524738895144,52.371721272411875,13.174459219945533,10115
26,Platanus,2007,25.49600064909826,52.35605481558001,13.17412800230026,10115
27,Acer (Ahorn),1982,31.796481774238906,52.3963133648527,13.154122960060254,10115
28,Platanus,2015,15.923938000255035,52.37059126881583,13.123667261934484,10115
29,Tilia (Linde),2005,15.429253295812241,52.3917994781489,13.194675531143059,10115
30,Acer (Ahorn),1960,42.73186450224488,52.36396565190402,13.187496210113743,10115
31,Tilia (Linde),1972,41.07607422929181,52.34828292175569,13.19977467328901,10115
32,Acer (Ahorn),2005,18.716171255717338,52.37030302596677,13.146188767084094,10115
33,Quercus (Eiche),2013,19.668729287685657,52.39924083786751,13.177557477401415,10115
34,Tilia (Linde),1997,28.45109824840684,52.380247414315185,13.17000946677652,10115
35,Tilia (Linde),1987,27.71816377503791,52.372395966810906,13.135943307573507,10115
36,Acer (Ahorn),2012,18.022861213639935,52.339372835126326,13.145126518466716,10115
37,Tilia (Linde),1995,27.04539094557904,52.395692431931735,13.14442497110817,10115
38,Fraxinus,1990,32.91155609962987,52.391630761131225,13.167556901583122,10115
39,Acer (Ahorn),1970,36.16001439736211,52.37365279616793,13.131799399685702,10115
40,Quercus (Eiche),2010,21.650019615592818,52.363814061302214,13.091755740322506,10115
41,Acer (Ahorn),2011,17.184115003506353,52.35520107983298,13.141213666368792,10115
42,Tilia (Linde),2022,11.255032920621291,52.3845335065317,13.091504196476784,10115
43,Fraxinus,1992,30.718473078827028,52.36601671021577,13.13680234272021,10115
44,Acer (Ahorn),2019,11.593521665762271,52.37424976889247,13.116040180910197,10115
45,Betula,2005,15.400326282274335,52.36994655348216,13.137132003965867,10115
46,Tilia (Linde),1975,36.63781914620251,52.33842628122396,13.15315440291628,10115
47,Acer (Ahorn),1980,33.452340751525504,52.342791290554096,13.189813223846892,10115
48,Acer (Ahorn),2012,17.351497653945906,52.351976931791135,13.138578725823944,10115
49,Fraxinus,1975,37.527106669436556,52.35688750933293,13.146750922430988,10115
50,Acer (Ahorn),2022,11.712246175054382,52.36471465280907,13.184464062199355,10115
51,Acer (Ahorn),1972,38.22600673074085,52.35477449367717,13.159647081505359,10115
52,Quercus (Eiche),1970,44.480123258956546,52.36524001570034,13.090176723213744,10115
53,Quercus (Eiche),1964,49.90233597508403,52.36897347799504,13.148175901245454,10115
54,Acer (Ahorn),1988,31.84939246623445,52.385640960317225,13.195905944475015,10115
55,Acer (Ahorn),1995,28.44022098604405,52.357887050087164,13.199680962636815,10115
56,Tilia (Linde),1991,37.83162615394876,52.375444640712644,13.176505476195935,10115
57,Betula,2003,19.062214891619714,52.404446505709814,13.156619119757305,10115
58,Betula,1965,38.175129910211375,52.39858025854351,13.16135556423875,10115
59,Tilia (Linde),1990,34.05558552361952,52.34658582460425,13.169404984661009,10115
60,Acer (Ahorn),1993,28.473802476912283,52.3706428706774,13.166452026174486,10115
61,Tilia (Linde),2021,9.817741444061229,52.39238064174064,13.191058508212853,10115
62,Platanus,2011,15.443771091159327,52.34702591438225,13.099680440793277,10115
63,Quercus (Eiche),1988,35.14916463955412,52.37124470455779,13.095808034035077,10115
64,Platanus,2019,10.299856561751122,52.38677591988513,13.097059898991091,10115
65,Platanus,1999,23.27261886744208,52.39433865018308,13.149956220886024,10115
66,Betula,2009,15.422343838735056,52.37299008885246,13.119383760962632,10115
67,Tilia (Linde),2013,14.798279167124194,52.39762271417863,13.101177304769632,10115
68,Fraxinus,2021,12.770022380666642,52.344899215741016,13.107629723270176,10115
69,Tilia (Linde),1997,30.422210056785524,52.39234000233993,13.11099984213435,10115
70,Tilia (Linde),2018,11.278767920677947,52.379412413152096,13.099868862855297,10115
71,Acer (Ahorn),1978,35.402970647451994,52.388622870216544,13.171696669218996,10115
72,Quercus (Eiche),2012,14.407154015341195,52.34215345749065,13.109318496114545,10115
73,Betula,2002,20.10711293572867,52.35164751226948,13.13834111604645,10115
74,Betula,2001,23.30286572998043,52.36204109469678,13.166434875744397,10115
75,Quercus (Eiche),1985,41.014441407444544,52.345648884491055,13.138402533719216,10115
76,Fraxinus,2018,11.423149982945649,52.35050433038119,13.151660223807822,10115
77,Quercus (Eiche),2007,26.99359727027835,52.34279677863973,13.164159558299291,10115
78,Acer (Ahorn),2001,19.571305443082785,52.38413711835668,13.197462843434222,10115
79,Quercus (Eiche),1993,29.75783455803382,52.33894997910413,13.108383999856237,10115
80,Fraxinus,1960,48.809249181101215,52.34829961399712,13.12551558774235,10115
81,Tilia (Linde),2013,22.952918015113298,52.39682336741871,13.112498471198242,10115
82,Tilia (Linde),1973,43.6054877941086,52.34989324581415,13.155659456035703,10115
83,Acer (Ahorn),2016,14.49500950115293,52.35523961604085,13.150438629443775,10115
84,Fraxinus,2013,10.737833836074856,52.340207837319774,13.197497196952165,10115
85,Betula,2005,13.94180205627663,52.3900999995653,13.170141716353156,10115
86,Platanus,1973,44.281286717843095,52.349583995149196,13.095533423357255,10115
87,Betula,1970,35.2465834854611,52.39651363530806,13.131106396929493,10115
88,Betula,1999,19.80483361189947,52.38216768169049,13.148233493092608,10115
89,Acer (Ahorn),2000,24.885709376896443,52.39381547593395,13.175827939710409,10115
90,Quercus (Eiche),1962,52.18414728832034,52.37229265755333,13.141423249582552,10115
91,Betula,1996,27.44572119920796,52.355749274978784,13.168536323636678,10115
92,Platanus,1965,48.62759800725085,52.33940103196967,13.183845265429,10115
93,Quercus (Eiche),1982,44.04905859467565,52.39193347616066,13.109959048047857,10115
94,Tilia (Linde),1998,28.029410631975388,52.34809873292346,13.126165629433961,10115
95,Platanus,1965,47.87178617379074,52.37377298149049,13.108947658432294,10115
96,Quercus (Eiche),1974,48.277102667873805,52.34276185824297,13.182913361541528,10115
97,Fraxinus,1986,30.694423595489518,52.369352332355405,13.091418941973481,10115
98,Quercus (Eiche),2000,37.277530127763995,52.356805260750114,13.195252355055182,10115
99,Tilia (Linde),1991,33.32226119246958,52.397829711302165,13.19558696213202,10115
100,Betula,1971,37.0428412696676,52.39306229953087,13.119758317734798,10115
101,Tilia (Linde),1995,31.405651259863912,52.37249682901218,13.164931449104802,10115
102,Tilia (Linde),2002,31.12510286786621,52.39296488574938,13.135437094044642,10115
103,Acer (Ahorn),1979,38.072654129188535,52.38901750904253,13.176957076367291,10115
104,Betula,1996,19.79730565657537,52.37025173986745,13.199971042527983,10115
105,Tilia (Linde),1998,32.21583969763146,52.39613104193469,13.1785098606788,10115
106,Quercus (Eiche),1993,32.478028217130145,52.340835278194376,13.11173475621972,10115
107,Betula,1995,25.42223553971245,52.395744052531036,13.133399279112151,10115
108,Fraxinus,1962,41.89158867981934,52.385180684384146,13.120427751373983,10115
109,Acer (Ahorn),2008,21.5220427875231,52.36195156273838,13.08882421626504,10115
110,Tilia (Linde),1993,29.06827178478731,52.346745634610876,13.157040455928705,10115
111,Tilia (Linde),1985,35.92364728400855,52.348532866057695,13.18856940864587,10115
112,Tilia (Linde),2022,9.49343024968795,52.35258463940524,13.190048509297947,10115
113,Tilia (Linde),2015,22.190837525282934,52.378760063276125,13.199524924590893,10115
114,Platanus,1962,55.74906655641643,52.342399685603866,13.097460685659497,10115
115,Tilia (Linde),2020,12.385154312796955,52.37775877116741,13.096403716930435,10115
116,Acer (Ahorn),2011,18.225538124272433,52.36515968879533,13.178807800527721,10115
117,Platanus,1990,32.97960924521561,52.377717991226994,13.13789574433278,10115
118,Acer (Ahorn),1996,30.237842302635165,52.38437536081103,13.14778938783687,10115
119,Tilia (Linde),1968,43.73539517023593,52.38611421017332,13.140918631611619,10115
120,Betula,1978,31.637154553189383,52.361610074567565,13.199865021622314,10115
121,Platanus,1979,43.47751025792941,52.34646712807018,13.089370167757004,10115
122,Platanus,2001,25.522175691297974,52.36120297485355,13.150085841082703,10115
123,Tilia (Linde),1989,33.24065408387959,52.38028986647324,13.193434714260576,10115
124,Tilia (Linde),2001,21.386910042840036,52.39178786238573,13.146366506692459,10115
125,Fraxinus,2006,24.13591999742667,52.39325037761503,13.11700516386934,10115
126,Quercus (Eiche),2010,27.382600817545605,52.37976625420795,13.088343353928922,10115
127,Quercus (Eiche),1953,58.860336748721615,52.391101760767086,13.192848593775635,10115
128,Acer (Ahorn),1998,30.1998328513681,52.36475474645456,13.183749301885861,10115
129,Platanus,2009,19.038538768081537,52.37512605422304,13.180452135120897,10115
130,Fraxinus,2016,15.831116699510886,52.341970893871235,13.157379596527775,10115
131,Quercus (Eiche),2009,19.5008583660787,52.375135001605614,13.110607382033061,10115
132,Fraxinus,1981,35.59059236603923,52.38797351476401,13.094595518652534,10115
133,Tilia (Linde),1989,35.67055361928269,52.40003242315127,13.182226394455872,10115
