PLZ,total_co2_tons,population_density,sealed_surface_ratio
10115,83249.58,14496.32,0.8272
10116,63488.96,9302.62,0.4841
10117,90390.62,15808.27,0.749
10118,81830.85,13309.2,0.6301
10119,49085.74,3959.75,0.3132
10120,103200.06,17622.15,0.9064
10121,83307.83,14297.67,0.7062
10122,82892.8,14684.0,0.6859
10123,48823.11,4485.76,0.2631
10124,66866.09,9480.98,0.5443
10125,57950.07,8247.37,0.4977
10126,91397.47,16864.86,0.8457
10127,72902.2,12479.91,0.6031
10128,91072.04,15252.81,0.7632
10129,66715.9,9372.92,0.5131
10130,56172.73,6022.2,0.379
10131,72600.91,11096.06,0.6225
10132,44272.99,3489.17,0.2741
10133,92770.74,15328.28,0.7887
10134,76078.52,12290.8,0.6319
10135,87153.29,14250.36,0.7244
10136,59207.2,7995.15,0.4816
10137,93107.44,17545.82,0.774
10138,90664.23,16343.38,0.7809
10139,80238.67,14564.94,0.6995
10140,51692.23,5516.9,0.3152
10141,64879.99,9734.18,0.5086
10142,45033.57,3178.96,0.3247
10143,48798.28,4891.49,0.2779
10144,83979.1,13087.26,0.71
