Ladeeinrichtungs-ID;Betreiber;Anzeigename (Karte);Status;Art der Ladeeinrichtung;Anzahl Ladepunkte;Nennleistung Ladeeinrichtung [kW];Inbetriebnahmedatum;Straße;Hausnummer;Adresszusatz;Postleitzahl;Ort;Kreis/kreisfreie Stadt;Bundesland;Breitengrad;Längengrad;Standortbezeichnung;Informationen zum Parkraum;Bezahlsysteme;Öffnungszeiten;Öffnungszeiten: Wochentage;Öffnungszeiten: Tageszeiten;Steckertypen1;Nennleistung Stecker1;EVSE-ID1;Public Key1;Steckertypen2;Nennleistung Stecker2;EVSE-ID2;Public Key2;Steckertypen3;Nennleistung Stecker3;EVSE-ID3;Public Key3;Steckertypen4;Nennleistung Stecker4;EVSE-ID4;Public Key4;Steckertypen5;Nennleistung Stecker5;EVSE-ID5;Public Key5;Steckertypen6;Nennleistung Stecker6;EVSE-ID6;Public Key6
1144860;ubitricity Gesellschaft für verteilte Energiesysteme mbH;;In Betrieb;Normalladeeinrichtung;1;3,7;07.11.2025;Schwarzer Weg;0;;10115;Berlin;Kreisfreie Stadt Berlin;Berlin;52,52979;13,377059;S-6HKYC5;Keine Beschränkung;"Onlinezahlungsverfahren;RFID-Karte";Keine Angabe;;;AC Typ 2 Steckdose;3,7;;3059 3013 0607 2A86 48CE 3D02 0106 082A 8648 CE3D 0301 0703 4200 04C2 ADB0 E658 A91D 0E25 155A 7807 F42C F699 D61F F132 AEC4 3833 E161 3183 F8CE BA05 ADD5 DBC7 656D E141 8E20 FA62 718A D90F 1C65 F2CA 3CD2 8EC6 FC68 0C98 1E5A AF;;;;;;;;;;;;;;;;;;;;
1144864;ubitricity Gesellschaft für verteilte Energiesysteme mbH;;In Betrieb;Normalladeeinrichtung;1;3,7;07.11.2025;Habersaathstr.;17a;;10115;Berlin;Kreisfreie Stadt Berlin;Berlin;52,531287;13,375899;S-U2N3M9;Keine Beschränkung;"Onlinezahlungsverfahren;RFID-Karte";Keine Angabe;;;AC Typ 2 Steckdose;3,7;;3059 3013 0607 2A86 48CE 3D02 0106 082A 8648 CE3D 0301 0703 4200 0439 2A36 B9CC BCD6 A7D5 0A59 6F2E 1CCC E91A D82B 52DD 6115 E750 1BF6 59A8 DB39 6F7C E6AA D9D4 3D97 BF23 F0EA 0CBD 2336 D463 B35D 5030 399B E32D CE3C 96CB 2DDC 72;;;;;;;;;;;;;;;;;;;;
1112348;Design Offices GmbH (Köln);;In Betrieb;Normalladeeinrichtung;1;11;25.07.2022;Gartenstraße;87;;10115;Berlin;Kreisfreie Stadt Berlin;Berlin;52,53271;13,388311;;;"Onlinezahlungsverfahren;RFID-Karte";Keine Angabe;;;AC Typ 2 Steckdose;11;;;;;;;;;;;;;;;;;;;;;;
1141867;Qwello Deutschland GmbH;;In Betrieb;Normalladeeinrichtung;1;11;21.06.2023;Pflugstr.;9;;10115;Berlin;Kreisfreie Stadt Berlin;Berlin;52,53679;13,37986;;Keine Beschränkung;"Kreditkarte (NFC);Debitkarte (NFC);Onlinezahlungsverfahren;RFID-Karte;Sonstige";Keine Angabe;;;AC Typ 2 Fahrzeugkupplung;11;DE*QRM*ER47P411;3059301306072a8648ce3d020106082a8648ce3d030107034200048da0442700d66c00e6222a49bfe4f876194dea326ea5f1b72305973d41296e6c41833f36de901b29974a706a81d34bb8791ad7eae35fcfd513bc902537a5877c;;;;;;;;;;;;;;;;;;;;
1141868;Qwello Deutschland GmbH;;In Betrieb;Normalladeeinrichtung;1;11;21.06.2023;Pflugstr.;9;;10115;Berlin;Kreisfreie Stadt Berlin;Berlin;52,53679;13,37986;;Keine Beschränkung;"Kreditkarte (NFC);Debitkarte (NFC);Onlinezahlungsverfahren;RFID-Karte;Sonstige";Keine Angabe;;;AC Typ 2 Fahrzeugkupplung;11;DE*QRM*ER47P421;3059301306072a8648ce3d020106082a8648ce3d0301070342000488f98cf016ceaa2af6c494cddaed488259cd0d1677cd45cea01d1af06e9e387b1733ff7a51f89fd435d14934b7b4a5971aba15e471e869b16c687290f27557e2;;;;;;;;;;;;;;;;;;;;
1017513;Berliner Stadtwerke KommunalPartner GmbH;Berliner Stadtwerke KommunalPartner GmbH;In Betrieb;Normalladeeinrichtung;2;22;17.03.2020;Schröderstr.;9;;10115;Berlin;Kreisfreie Stadt Berlin;Berlin;52,530867;13,39438;;;"Onlinezahlungsverfahren;RFID-Karte";Keine Angabe;;;AC Typ 2 Steckdose;11;;;AC Typ 2 Steckdose;11;;;;;;;;;;;;;;;;;;
1017517;Berliner Stadtwerke KommunalPartner GmbH;Berliner Stadtwerke KommunalPartner GmbH;In Betrieb;Normalladeeinrichtung;2;22;24.06.2020;Ruppiner Str.;5;;10115;Berlin;Kreisfreie Stadt Berlin;Berlin;52,538244;13,399732;;;"Onlinezahlungsverfahren;RFID-Karte";Keine Angabe;;;AC Typ 2 Steckdose;11;;;AC Typ 2 Steckdose;11;;;;;;;;;;;;;;;;;;
1017556;Berliner Stadtwerke KommunalPartner GmbH;Berliner Stadtwerke KommunalPartner GmbH;In Betrieb;Normalladeeinrichtung;2;22;02.06.2020;Hannoversche Str.;6;;10115;Berlin;Kreisfreie Stadt Berlin;Berlin;52,527262;13,383475;;;"Onlinezahlungsverfahren;RFID-Karte";Keine Angabe;;;AC Typ 2 Steckdose;11;;;AC Typ 2 Steckdose;11;;;;;;;;;;;;;;;;;;
1017557;Berliner Stadtwerke KommunalPartner GmbH;Berliner Stadtwerke KommunalPartner GmbH;In Betrieb;Normalladeeinrichtung;2;22;24.06.2020;Eichendorffstr.;12;;10115;Berlin;Kreisfreie Stadt Berlin;Berlin;52,531326;13,387;;;"Onlinezahlungsverfahren;RFID-Karte";Keine Angabe;;;AC Typ 2 Steckdose;11;;;AC Typ 2 Steckdose;11;;;;;;;;;;;;;;;;;;
1017570;Berliner Stadtwerke KommunalPartner GmbH;Berliner Stadtwerke KommunalPartner GmbH;In Betrieb;Normalladeeinrichtung;2;22;21.03.2017;Anklamer Str.;12;;10115;Berlin;Kreisfreie Stadt Berlin;Berlin;52,534702;13,397123;;;"Onlinezahlungsverfahren;RFID-Karte";Keine Angabe;;;AC Typ 2 Steckdose;11;;;AC Typ 2 Steckdose;11;;;;;;;;;;;;;;;;;;
